,Temperature,Y,cosD,sinD,Continuous_urban_fabric,Discontinuous_urban_fabric,Industrial_or_commercial_units,Road_and_rail_networks_and_associated_land,Green_urban_areas,Sport_and_leisure_facilities,Non-irrigated_arable_land,Vineyards,Pastures,Complex_cultivation_patterns,"Land_principally_occupied_by_agriculture,_with_significant_areas_of_natural_vegetation",Broad-leaved_forest,Coniferous_forest,Mixed_forest,Natural_grasslands,Transitional_woodland-shrub,Water_courses
Angelica,1.1325658508236176e-05,-8.050358299842315e-06,2.466139689452291e-07,7.06299940407987e-06,-1.2265216237225918e-05,-1.4486701925016902e-05,-2.2578683521052478e-05,9.246642849752536e-07,4.3122014324753685e-06,-4.844326779669595e-06,-7.915797649120343e-06,-4.497086654970783e-06,-1.4071609084574641e-05,1.061682758243925e-05,-9.472982164470129e-06,-5.999795809464792e-06,-1.6367397056351833e-06,5.341019865962324e-06,-3.0635336079689752e-06,-2.7028833659618734e-05,-2.9322017722070756e-06
Echium,8.652133398972422e-06,-5.987781486781672e-06,9.874401693026017e-07,4.667163571899376e-06,-1.1961974405110907e-05,-9.079612584042322e-06,-9.851627055863567e-06,-1.4007048725085248e-06,3.6857140783167e-06,-3.2704605117071928e-06,-7.3192322560612535e-06,-2.7725536738360587e-06,-9.561117568026924e-06,3.995479295271369e-06,-5.71881448867774e-06,-4.2431893240796864e-06,-7.892767622952663e-07,5.12098912272826e-06,-2.3775900000316994e-06,-1.1440765689932733e-05,2.9234294979193217e-06
Scabiosa,8.949859142347853e-06,-6.19449638837918e-06,4.3550639947988215e-07,5.7265265103298515e-06,-1.4087207011043062e-05,-9.721788297623858e-06,-1.051138269525936e-05,-1.1569973308172912e-08,2.945372128807431e-06,-5.270425454589785e-06,-7.478370898049073e-06,-3.122418123946458e-06,-9.616278517556556e-06,4.9985502110704424e-06,-5.555725204878581e-06,-4.735203857858176e-06,-1.2340468691787013e-06,5.484113993472207e-06,-3.105259745009631e-06,-1.3523987792127007e-05,3.546159973082137e-06
Malva,7.972743642531769e-06,-5.669510951169092e-06,8.321592130411442e-07,4.450994451169488e-06,-9.499637016474433e-06,-8.493805070175704e-06,-1.0363627916603811e-05,8.882338817073549e-07,3.7226031803722357e-06,-3.3685476403159675e-06,-6.871874741472852e-06,-4.079621503570375e-06,-1.0319883230015547e-05,5.873709322091249e-06,-6.501327135116654e-06,-3.736270368007651e-06,-5.294434142733187e-07,3.818230981066133e-06,-1.0461216112411426e-06,-1.3823446204305177e-05,1.1825812019342066e-06
Sambucus,1.0684297670802495e-05,-7.511621280523485e-06,4.681752468517647e-07,6.515332999000953e-06,-1.3668513354387049e-05,-1.2759371547238408e-05,-1.743177275335059e-05,-2.7278012478878753e-07,4.133593656525235e-06,-4.547224689554581e-06,-8.097634252476767e-06,-3.7729992283716326e-06,-1.2563927777393082e-05,7.798420792991962e-06,-8.081945373247331e-06,-5.4865027325726824e-06,-1.6482886000640949e-06,5.71857070381244e-06,-3.4237158760056577e-06,-2.088335606584014e-05,2.9140553013472787e-07
Digitalis,5.964482055950223e-06,-3.970104696203894e-06,5.231359358666776e-07,3.0928566642242875e-06,-6.714383900543909e-06,-6.293654999548641e-06,-7.102000136938561e-06,1.2675515292607086e-07,2.9102153066708407e-06,-1.3195875789448238e-06,-5.193656919589428e-06,0.0,-7.5668188803206265e-06,3.482700888517748e-06,-4.915063105702952e-06,-2.3809000592223125e-06,-5.436240052085443e-07,2.540721991944598e-06,-6.232501225278091e-07,-9.3273687283337e-06,1.601073561644739e-06
Vicia,8.215972092436152e-06,-5.7067608128060474e-06,9.41343940928915e-07,4.697671400017946e-06,-1.0470196509345437e-05,-8.490003752346336e-06,-9.62452684759422e-06,-5.98428442340989e-07,3.5614201703018554e-06,-2.7818256109354955e-06,-6.946803472571144e-06,-3.2600483527979256e-06,-9.675183975666832e-06,4.564630465245042e-06,-5.800812419503621e-06,-4.050894293999365e-06,-6.594239090688351e-07,4.495981474271582e-06,-1.773370162026092e-06,-1.1699055557137684e-05,1.7230029297232126e-06
Alliaria,1.0806419356472561e-05,-7.469307396031184e-06,7.096970918967844e-07,6.755272790879576e-06,-1.2207083334982124e-05,-1.1653228545247147e-05,-1.597626130588211e-05,7.562389297168985e-07,4.805221201051965e-06,-2.8883569851383305e-06,-8.489167461566864e-06,-5.3255579547753266e-06,-1.3889577031111753e-05,8.803174927807149e-06,-8.509173645598408e-06,-5.419613380334577e-06,-1.2291804915281793e-06,4.844258449625356e-06,-2.349419729366376e-06,-2.0394585172089528e-05,-2.339966400471815e-06
Ligustrum,9.248869164564958e-06,-6.423593451951982e-06,5.410445832296756e-07,5.182654561767744e-06,-1.1289266611786872e-05,-1.0902283064728936e-05,-1.5011703598231805e-05,-4.4488700953319693e-07,3.706023485998097e-06,-3.0843842734114243e-06,-7.387336186298758e-06,-3.6653898350939615e-06,-1.1163068194238959e-05,6.259984195801501e-06,-7.274199172323963e-06,-4.787243240917901e-06,-1.3887308910094189e-06,4.956230360268965e-06,-2.7849544694053742e-06,-1.755565042624974e-05,2.7071495923602743e-07
Convolvulus,8.790102732506433e-06,-6.176293970828857e-06,5.457645945254119e-07,5.413272291612917e-06,-1.0734784308604732e-05,-9.65018767833894e-06,-1.1015239538630304e-05,1.602293598852912e-06,4.264068096144674e-06,-4.5900824881381006e-06,-6.414620389917846e-06,-3.7486366265536776e-06,-1.046565611630087e-05,7.466079936851353e-06,-6.686287963831061e-06,-3.3424912584594138e-06,-3.8457837893681956e-07,3.6709698120810838e-06,-9.016460147365183e-07,-1.6269628088147786e-05,1.3051049487650643e-06
