,Temperature,Y,cosD,sinD,Continuous_urban_fabric,Discontinuous_urban_fabric,Industrial_or_commercial_units,Road_and_rail_networks_and_associated_land,Green_urban_areas,Sport_and_leisure_facilities,Non-irrigated_arable_land,Vineyards,Pastures,Complex_cultivation_patterns,"Land_principally_occupied_by_agriculture,_with_significant_areas_of_natural_vegetation",Broad-leaved_forest,Coniferous_forest,Mixed_forest,Natural_grasslands,Transitional_woodland-shrub,Water_courses
Calystegia,6.700318849669799e-06,-5.863350758837346e-06,-5.169845708711412e-07,3.987679633860308e-06,-8.10859563314997e-06,-9.977209201543471e-06,-1.2086382354797943e-05,2.1215023680824435e-06,6.6829875117097945e-06,-8.532493520285407e-07,-7.1212574832292486e-06,-2.839735753603236e-06,-8.309479902249822e-06,2.8808393690570095e-06,-1.4068423349862543e-06,-6.626105168058566e-06,-3.873089124066011e-06,4.605749603383424e-06,-3.0278898203698817e-06,-1.1919791681386123e-05,-2.7108964619866307e-06
Buddleja,6.6334054472813105e-06,-5.918140647238932e-06,-2.9519968727039984e-07,3.2597258125322238e-06,-8.452004798036261e-06,-1.0519794248419856e-05,-1.2290628964962755e-05,1.4342054262028726e-07,7.327249054856031e-06,1.0067327598608883e-06,-8.684277570099636e-06,-4.220386094028133e-06,-1.0068134214029072e-05,1.3508356695036138e-06,-2.1953134962251594e-06,-8.839219257962483e-06,-4.750928436212561e-06,4.431994361102898e-06,-4.323847344334581e-06,-1.0738494068766511e-05,-3.238351114535791e-06
Clematis,7.814959133619829e-06,-6.756570426184093e-06,-7.242960151650393e-07,5.305722206925597e-06,-9.60168692459875e-06,-1.1981643174631582e-05,-1.445803337604604e-05,3.0013510055154003e-06,7.562094200381949e-06,-2.907055112678759e-06,-8.237169338296877e-06,-3.294247899071706e-06,-9.63130297196076e-06,4.950647624480574e-06,-2.9808540025168505e-06,-7.918233805634702e-06,-4.612708625795051e-06,5.225445219054934e-06,-3.680431547981774e-06,-1.4264971814270005e-05,-2.599646350608017e-06
Borago,4.980159706859419e-06,-4.507579643396069e-06,2.5342685124520454e-08,2.5099598850677654e-06,-6.22840904504996e-06,-7.648105538217585e-06,-8.56178782279697e-06,-1.0180873295213993e-06,5.288574088379702e-06,1.4718204122405567e-06,-6.543270895182204e-06,-3.1145307536804733e-06,-7.8278327492977e-06,3.4440353632169766e-07,-1.2873011225705804e-06,-6.773446061805024e-06,-3.452820342136918e-06,3.2227930029829382e-06,-3.1039271542546622e-06,-6.7467212759643135e-06,-2.8087466662635695e-06
Dipsacus,7.559765201612433e-06,-6.6437255099383445e-06,-2.620680106568475e-07,3.8310160339552646e-06,-9.364105786980354e-06,-1.1411685131904206e-05,-1.3240157614951759e-05,8.027639435509341e-08,7.846138945245362e-06,-1.34702884798537e-07,-8.708528506472295e-06,-3.5278968252407394e-06,-1.0334615935902387e-05,1.734662171750541e-06,-1.8782950854944245e-06,-8.681016485278158e-06,-4.922129656851327e-06,5.035999948022607e-06,-4.3750012797395255e-06,-1.1672735172589697e-05,-2.743372759143237e-06
Melilotus,7.385353441875364e-06,-6.2914147044569e-06,-7.508351722203131e-07,5.2138140004608705e-06,-8.642940617110195e-06,-1.1222356245999548e-05,-1.368581342203342e-05,3.5719977174384555e-06,6.918120807953732e-06,-1.6840794319305603e-06,-8.448999686510965e-06,-3.967961406346233e-06,-9.575052305524584e-06,4.8542336963008605e-06,-3.17854427447668e-06,-8.042396760217234e-06,-4.60368296794225e-06,4.516687595353907e-06,-3.280839918422258e-06,-1.4071745841058245e-05,-3.6272446667325452e-06
Foeniculum,8.897452417436072e-06,-7.87888084130674e-06,-1.1404322066090104e-06,7.352288747162943e-06,-1.0849133086812857e-05,-1.4301075366460449e-05,-1.8259637619626083e-05,6.285296733756973e-06,7.79268464280216e-06,-6.368334064857924e-06,-9.920538434959553e-06,-4.241385914770207e-06,-1.104083678792015e-05,9.324274204549738e-06,-5.471119599285852e-06,-9.096189620152776e-06,-5.201837804355157e-06,5.6504173699519625e-06,-3.2746563623973373e-06,-1.9023273567619808e-05,-3.389494771529252e-06
Phyteuma,6.557762408485887e-06,-5.621367379849436e-06,-3.1879417784435973e-07,3.765263522981877e-06,-8.356058038595122e-06,-9.526825808367699e-06,0.0,1.7181777311756707e-07,0.0,-1.6966687309713785e-06,-5.243404406317475e-06,0.0,-6.86184881999452e-06,1.806328912377445e-06,-6.621854577170163e-07,-4.976978145032905e-06,-3.901509027659153e-06,4.780247262818104e-06,-3.409368749203167e-06,-1.0270205510154951e-05,-5.648101680233799e-07
Valeriana,6.755444856319129e-06,-5.9094321579995135e-06,-4.6116829244805496e-07,4.408525464495444e-06,-8.528250121048732e-06,-1.048799232783575e-05,-1.2239627024523631e-05,1.2223161101852579e-06,7.0812876250419076e-06,-1.3323400882762216e-06,-7.309960570432988e-06,-3.1929614295838733e-06,-8.772166340535323e-06,2.985384416831267e-06,-2.401129976513544e-06,-7.436218663154023e-06,-4.420909204265562e-06,4.650295285820098e-06,-3.851612380110451e-06,-1.1581775145905875e-05,-2.210529926704838e-06
Helianthus,7.5637971966961915e-06,-6.69068688509025e-06,-3.377873017038607e-07,3.5876979555475563e-06,-9.072918094984354e-06,-1.1132170285578445e-05,-1.3345948189033846e-05,1.3733392570215613e-06,7.66739942750868e-06,-7.910385987287658e-08,-8.440295319473918e-06,-3.2497377277156617e-06,-9.830585964334572e-06,2.1742449449512373e-06,-1.2788856788297178e-06,-7.806538113014581e-06,-4.37294622571912e-06,5.063882745567511e-06,-3.6082448668081325e-06,-1.2568758971899869e-05,-3.095516985188358e-06
Globularia,5.284019380619261e-06,-4.493304461506432e-06,-4.775913624938372e-07,3.251689047220035e-06,0.0,-7.914445483586464e-06,-9.106854275696373e-06,0.0,0.0,-1.2859870027340592e-06,-5.129244941135934e-06,-2.091421743587879e-06,-6.418238724893929e-06,2.3359315400666556e-06,-9.52286663581011e-07,-5.4304560170141784e-06,-2.535589593600244e-06,4.198856088700827e-06,-2.9975154588777147e-06,-8.375548612644495e-06,-1.4866877233342933e-06
Nerium,4.6097270671582776e-06,-3.8972464222492155e-06,-3.641315797897773e-07,3.5846138815843276e-06,-5.466165891968038e-06,-7.302854491691896e-06,-8.088958519822751e-06,0.0,0.0,-8.264109642818681e-07,-5.816540039114392e-06,-3.114618876146463e-06,-6.867607917310386e-06,3.901803942751162e-06,-3.2217669392074255e-06,-5.752879117746294e-06,-2.998562586920375e-06,2.3492175126713324e-06,-2.2696620375037516e-06,-8.084144502260773e-06,-2.7809242763997385e-06
Lamium,5.501051225258386e-06,-4.895932282379163e-06,2.1272639031001997e-07,2.9439627233386265e-06,-6.948620270198325e-06,-8.432018633686372e-06,-8.990032636564892e-06,-2.083174360741174e-06,5.660119322901038e-06,3.943672893605637e-07,-6.7191270418519135e-06,-2.7079012990453934e-06,-8.343175371604169e-06,7.09370970861517e-07,-2.201948419601033e-06,-6.9797952934051564e-06,-4.1814627598915875e-06,3.1330401022635436e-06,-3.519517127405048e-06,-6.797889482226382e-06,-1.9733161868954386e-06
Crocus,5.180157899686539e-06,-4.5202627626933566e-06,-1.0849674594583395e-07,2.9094485401774123e-06,-6.632131714683819e-06,-7.959473851051851e-06,-8.856128552858867e-06,-4.6278465755485796e-07,5.357069588482867e-06,-2.222702698435958e-07,-5.598335686378549e-06,-2.083164347806854e-06,-6.944363480087831e-06,1.5113508758349183e-06,-1.8563960544617278e-06,-5.515285957962137e-06,-3.7157738498456476e-06,3.188849211806213e-06,-2.995744579852486e-06,-7.87312051769923e-06,-1.666343425298284e-06
