,mean_grad_signe_pos,mean_grad_signe_neg,mean_grad_odg,mean_grad_dummy,LM_grad_signe_pos,LM_grad_signe_neg,LM_grad_odg,LM_grad_dummy,mean_grad_input_signe_pos,mean_grad_input_signe_neg,mean_grad_input_odg,mean_grad_input_dummy,LM_grad_input_signe_pos,LM_grad_input_signe_neg,LM_grad_input_odg,LM_grad_input_dummy,mean_IG_signe_pos,mean_IG_signe_neg,mean_IG_odg,mean_IG_dummy,LM_IG_signe_pos,LM_IG_signe_neg,LM_IG_odg,LM_IG_dummy
10,0.0,1.0,7.032963141694238e-05,8.107383999631845e-05,0.0,0.0,5.661489762716518e-05,2.2794166347366832e-05,0.020833333333333332,0.08571428571428572,5.2833279092955026e-05,2.622020324449861e-05,0.0,0.9714285714285714,8.178440992213695e-05,8.808753130036675e-05,0.0,0.11428571428571428,7.38456983334942e-05,5.836399787515703e-06,0.0,0.9714285714285714,0.00011541299416525279,1.8581463609183924e-05
11,1.0,0.0,3.8841098545005485e-05,1.8908597051738486e-05,0.9743589743589743,1.0,2.7846721558094135e-05,6.534618243733475e-06,0.9230769230769231,1.0,2.9283669516301304e-05,6.031621698678222e-06,1.0,0.0,4.2187392557432464e-05,1.7210315198884045e-05,0.9230769230769231,0.9545454545454546,1.27114795004152e-05,1.2351527565875327e-05,1.0,0.0,1.9049544119102073e-05,4.4694095607279956e-05
12,1.0,0.0,8.977528573895177e-05,9.238898584186929e-05,1.0,1.0,7.308507443492439e-05,1.9411580503361595e-05,0.975609756097561,0.9761904761904762,6.139565359421636e-05,2.8732653108004885e-05,1.0,0.023809523809523808,9.929465872950791e-05,9.638533209471537e-05,1.0,0.9761904761904762,4.6840391643898504e-05,3.414264332021443e-05,1.0,0.023809523809523808,7.587288643398526e-05,0.00011445315858198913
13,0.8043478260869565,0.6486486486486487,1.010631072233756e-05,5.87110929803268e-06,0.9347826086956522,0.24324324324324326,8.927849380575701e-06,2.0522671844096046e-06,0.9347826086956522,0.1891891891891892,9.298844030740979e-06,2.569780954466776e-06,0.8478260869565217,0.6216216216216216,1.229344637663421e-05,6.5074003145668e-06,0.8260869565217391,0.05405405405405406,6.185813934577619e-06,6.1391635670140685e-06,0.6956521739130435,0.8378378378378378,8.556853600545425e-06,1.9641355844823365e-05
14,1.0,0.0,0.00012880146626883697,6.638660572433432e-05,1.0,1.0,0.00010038597501581583,1.2571695869129726e-05,1.0,0.975609756097561,9.911274139769643e-05,1.6824342831477993e-05,1.0,0.0,0.00013959896149331558,6.460235950121138e-05,1.0,1.0,7.504331998702637e-05,4.361178865902258e-06,1.0,0.0,0.00010656511102634297,1.676863822056161e-05
15,0.0,1.0,9.872254015225137e-05,0.0002141470369253854,0.05263157894736842,0.0,7.779707824211728e-05,4.477546151345231e-05,0.10526315789473684,0.0,7.03341291589779e-05,6.985938367711171e-05,0.0,1.0,0.00011445463219651268,0.0002194610557254274,0.10526315789473684,0.0,5.1372827705020987e-05,5.249293318538877e-05,0.0,1.0,8.45045704715476e-05,0.00016610940666550566
16,0.0,1.0,4.809979580939117e-05,1.3219144675397747e-05,0.0,0.022727272727272728,3.882048234559376e-05,3.332083121160037e-06,0.0,0.045454545454545456,4.0211404828950756e-05,3.4510265642784044e-06,0.02564102564102564,1.0,5.750978051000883e-05,1.3275678590738921e-05,0.0,0.022727272727272728,2.4144044739825337e-05,1.5625876208486993e-07,0.02564102564102564,1.0,3.439511040061601e-05,3.5423523356142153e-07
17,1.0,0.0,0.0002824858545198617,0.0001827048101381835,1.0,1.0,0.00021653705775393026,4.019344571809992e-05,0.9555555555555556,0.9736842105263158,0.00022200148356164018,5.544471353255923e-05,0.9777777777777777,0.0,0.00034047284879397855,0.0001785978192022842,0.9555555555555556,1.0,0.0001754887837552201,2.5318296443055925e-05,0.9777777777777777,0.0,0.0002701433697511292,8.084583356862554e-05
18,1.0,0.0,0.00029671178199892374,3.2076495877733795e-05,1.0,1.0,0.00024061367734817376,7.3487199972163145e-06,0.9230769230769231,1.0,0.00023632444546537728,1.0573310873628101e-05,1.0,0.0,0.0003588750549915962,3.3306988320201505e-05,0.9230769230769231,1.0,0.00015994957411420322,9.080991156668117e-06,1.0,0.0,0.0002434194722200772,2.907431529584434e-05
19,1.0,0.0,0.00021693931693625882,2.6782107706988394e-05,1.0,1.0,0.00016570579685600304,5.3219352200546346e-06,0.9534883720930233,1.0,0.00018107063483491874,9.133055624827553e-06,0.9767441860465116,0.0,0.0002627224566567928,2.610675837040585e-05,0.8837209302325582,1.0,0.00012892315831881623,1.2350164784052194e-05,0.9767441860465116,0.0,0.00018741405185214636,3.568971920186405e-05
