,median_rank,median_score,plant,features,ecological_rank,land_use_rank,sign,zscore
138,156.0,1.3620135054486988e-06,Nerium,Complex_cultivation_patterns,,52,1.0,0.9536354253502154
139,160.5,1.344370926370748e-06,Sambucus,Y,86,,0.0,0.9412826929169685
140,161.0,1.4172970385929892e-06,Cistus,Complex_cultivation_patterns,,53,1.0,0.9923430706371467
141,161.0,1.375507401359628e-06,Aquilegia,Sport_and_leisure_facilities,,54,0.4666666666666667,0.9630833912589024
142,161.5,-1.5326999660559968e-06,Ribes,Vineyards,,55,0.7333333333333333,-1.0731442663503932
143,162.0,1.3989358995664352e-06,Clematis,Y,87,,0.0,0.9794872270236623
144,162.0,1.4155497377390199e-06,Dipsacus,Industrial_or_commercial_units,,56,0.0,0.9911196701448434
145,162.5,1.4379659759409473e-06,Cotoneaster,Mixed_forest,,57,1.0,1.0068147559622225
146,163.0,1.1085170050872866e-06,Lonicera,Lonicera,88,,0.23333333333333334,0.7761458175160354
147,165.0,-1.3465933608416664e-06,Chelidonium,Coniferous_forest,,58,0.2,-0.9428387657705112
148,165.5,1.4652029498837128e-06,Foeniculum,Complex_cultivation_patterns,,59,1.0,1.0258851566060143
149,168.5,-1.4570454819720532e-06,Crataegus,Green_urban_areas,,60,1.0,-1.0201735756630974
150,174.0,1.3012918870776933e-06,Nerium,Discontinuous_urban_fabric,,61,0.0,0.9111202181723609
151,175.0,-1.2678627815899645e-06,Dipsacus,Transitional_woodland-shrub,,62,0.0,-0.8877142981111166
152,175.5,-1.3184766264186379e-06,Aquilegia,Industrial_or_commercial_units,,63,0.0,-0.9231523868295546
153,176.5,-1.3265916829930803e-06,Chelidonium,Transitional_woodland-shrub,,64,0.0,-0.9288342727999583
154,177.5,-1.3922196467953511e-06,Iris,sinD,89,,1.0,-0.9747847357910203
155,178.5,1.2779490879359777e-06,Sambucus,Continuous_urban_fabric,,65,0.0,0.8947763859714892
156,179.5,1.3295347823724886e-06,Galium,Green_urban_areas,,66,1.0,0.930894930654893
157,182.0,1.298067809460911e-06,Euphorbia,Temperature,90,,1.0,0.9088628289341908
158,182.0,1.3310933724340592e-06,Philadelphus,sinD,91,,1.0,0.931986202283527
159,182.0,1.2626908512778748e-06,Malus,Continuous_urban_fabric,,67,0.0,0.8840930888181687
160,182.5,-1.245044222632255e-06,Helianthus,Natural_grasslands,,68,0.2,-0.8717375210156901
161,182.5,1.3201152072843859e-06,Pyrus,Temperature,92,,1.0,0.9242996652923797
162,183.0,1.3975255343834614e-06,Clematis,sinD,93,,1.0,0.978499737402022
163,183.5,-5.289560103228303e-07,Galium,Vineyards,,69,0.7666666666666667,-0.3703569662692783
164,185.0,-1.2781710451386055e-06,Carduus,Y,94,,0.0,-0.8949317928382279
