,AUC0,AUC1,AUC3_0,AUC3_1,phi_pos,phi_neg,phi_odg,grad_pos,grad_neg,grad_odg,grad_feature_pos,grad_feature_neg,grad_feature_odg,IG1_pos,IG1_neg,IG1_odg,grad_LM_pos,grad_LM_neg,grad_LM_odg,IG1_LM_pos,IG1_LM_neg,IG1_LM_odg
12,0.8525265549346587,0.8576713397071555,0.7823988912045413,0.7850286203928502,0.6,0.6,0.5843137254901961,0.6,1.0,0.21176470588235297,0.6,0.0,0.8117647058823529,0.6,0.0,0.9549019607843138,0.6,0.0,0.865686274509804,0.6,1.0,0.2754901960784314
13,0.8661041557393171,0.8676122580275042,0.7441044492119053,0.7881383379142523,0.6,0.2,0.48137254901960785,0.8,0.8,0.42843137254901964,0.8,0.2,0.9519607843137255,0.8,0.2,0.9715686274509803,0.8,0.2,0.9892156862745098,0.8,0.8,0.442156862745098
14,0.8507604676893259,0.8498587356013958,0.7087020408163265,0.7487066076519407,0.2,0.6,0.557843137254902,0.8,0.6,0.4872549019607843,0.8,0.4,0.8872549019607843,0.8,0.4,0.9147058823529413,0.8,0.4,0.9274509803921569,0.8,0.6,0.48921568627450984
15,0.8371266004282905,0.827118565938616,0.7094172745117631,0.6943073037229939,0.6,0.4,0.4245098039215686,0.8,0.8,0.5990196078431372,0.8,0.2,0.9833333333333333,0.8,0.2,0.984313725490196,0.8,0.2,1.0,0.8,0.8,0.6303921568627451
16,0.860191346178127,0.860122078847616,0.7024448253478843,0.6991884545147607,0.2,0.6,0.4303921568627451,0.4,0.8,0.48725490196078436,0.4,0.2,0.8568627450980392,0.4,0.2,0.8637254901960785,0.4,0.2,0.8803921568627451,0.4,0.8,0.5176470588235295
17,0.8704774417536306,0.8649221045760509,0.8059072022160665,0.8076995100028089,0.4,0.4,0.3941176470588236,1.0,0.6,0.4794117647058824,1.0,0.4,0.915686274509804,1.0,0.4,0.8754901960784314,1.0,0.4,0.9284313725490196,1.0,0.6,0.5068627450980392
18,0.8493136295319339,0.8489492445778272,0.5844918367346938,0.6660628132489606,0.4,0.2,0.5176470588235293,0.8,0.8,0.38333333333333336,0.8,0.2,0.9656862745098039,0.8,0.2,0.9715686274509804,0.8,0.2,0.9500000000000001,0.8,0.8,0.39803921568627454
19,0.822491048846818,0.8471110503288867,0.6348528658927701,0.6571882702077361,0.6,0.2,0.4441176470588235,1.0,0.6,0.4088235294117647,1.0,0.4,0.946078431372549,1.0,0.2,0.8970588235294118,1.0,0.4,0.9735294117647059,1.0,0.8,0.47352941176470587
20,0.8763623373549335,0.8845542010985722,0.7840657282856341,0.819104732181739,0.6,0.8,0.4617647058823529,1.0,0.6,0.5029411764705882,1.0,0.4,0.9254901960784313,1.0,0.4,0.9294117647058824,1.0,0.4,0.9607843137254901,1.0,0.6,0.5098039215686274
21,0.8612957193762474,0.8490307558661329,0.7117465599999999,0.6784621039311577,0.4,0.2,0.4529411764705883,0.8,0.8,0.3970588235294118,0.8,0.2,0.9901960784313726,0.8,0.2,0.9764705882352941,0.8,0.2,0.9852941176470589,0.8,0.8,0.44705882352941173
22,0.8513127829604796,0.8457440576069738,0.74113795879572,0.737219819470696,0.8,0.6,0.5656862745098039,0.6,0.8,0.5215686274509804,0.6,0.2,0.9509803921568627,0.6,0.2,0.9813725490196079,0.6,0.2,0.9754901960784313,0.6,0.8,0.5598039215686275
23,0.8534430938546502,0.856773917855999,0.7283790260214141,0.7337897037300739,0.2,0.8,0.44999999999999996,0.8,0.4,0.4735294117647059,0.8,0.6,0.846078431372549,0.8,0.2,0.8117647058823529,0.8,0.6,0.892156862745098,0.8,0.8,0.49901960784313726
24,0.851429771062312,0.8628619892816756,0.7489329639889196,0.7178739142715911,0.2,0.4,0.5607843137254902,0.6,1.0,0.403921568627451,0.6,0.0,0.8941176470588235,0.6,0.0,0.946078431372549,0.6,0.0,0.9127450980392157,0.6,1.0,0.36176470588235293
25,0.8796916151572158,0.8393687852727764,0.7887250577609747,0.7384169807577862,0.2,0.2,0.5754901960784313,0.8,1.0,0.29705882352941176,0.8,0.0,0.7549019607843138,0.8,0.2,0.8568627450980393,0.8,0.0,0.8480392156862745,0.8,0.8,0.3303921568627451
26,0.8670987357810751,0.8671960330198731,0.7641302193794299,0.761013518691315,0.4,0.4,0.546078431372549,0.8,0.8,0.5627450980392157,0.8,0.2,0.9990196078431373,0.8,0.2,0.9980392156862745,0.8,0.2,0.9970588235294118,0.8,0.8,0.603921568627451
27,0.8385982856367659,0.8547193574135009,0.6872827216066482,0.7333334466563203,0.4,0.4,0.48431372549019613,0.8,0.6,0.5970588235294118,0.8,0.4,0.95,0.6,0.4,0.9372549019607843,0.8,0.4,0.9696078431372549,0.6,0.6,0.5990196078431372
28,0.8358809659456868,0.8523735407871328,0.6699516086318003,0.6952047559491616,0.2,0.6,0.6588235294117647,0.6,1.0,0.44215686274509813,0.6,0.0,0.8058823529411765,0.6,0.0,0.8754901960784314,0.6,0.0,0.8313725490196079,0.6,1.0,0.4931372549019608
29,0.832123222395192,0.8461097714423316,0.6692609053497942,0.7246614945989689,0.2,0.2,0.6843137254901961,0.6,1.0,0.2754901960784314,0.6,0.2,0.7529411764705882,0.8,0.2,0.8666666666666667,0.6,0.2,0.7843137254901962,0.8,0.8,0.31176470588235294
