,AUC0,AUC1,phi_pos,phi_neg,phi_odg,grad_pos,grad_neg,grad_odg,grad_feature_pos,grad_feature_neg,grad_feature_odg,IG1_pos,IG1_neg,IG1_odg,grad_LM_pos,grad_LM_neg,grad_LM_odg,IG1_LM_pos,IG1_LM_neg,IG1_LM_odg
10,0.49567667023415685,0.6433019182490354,0.5,0.4,0.5238636363636364,0.8,0.8,0.5727272727272728,0.9,0.6,0.6477272727272728,0.8,0.5,0.6556818181818181,0.8,0.6,0.7534090909090909,0.8,0.6,0.45681818181818185
11,0.5012455011760705,0.5512469990971989,0.4,0.6,0.571590909090909,0.6,1.0,0.5761363636363637,0.3,0.0,0.7102272727272727,0.3,0.0,0.7715909090909091,0.1,0.0,0.8579545454545454,0.6,1.0,0.5579545454545454
12,0.5085874278067067,0.666367554680878,0.5,0.4,0.5556818181818182,1.0,0.6,0.44772727272727275,0.3,0.8,0.6329545454545454,0.2,0.8,0.8409090909090908,0.2,0.9,0.8375,1.0,0.5,0.34431818181818186
13,0.4916795224185327,0.5029997493265301,0.5,0.4,0.5136363636363637,0.4,1.0,0.41250000000000003,0.3,0.5,0.5227272727272727,0.4,0.1,0.6011363636363637,0.2,0.7,0.7477272727272728,0.4,1.0,0.4715909090909091
14,0.4901031666733107,0.6788855620198035,0.4,0.4,0.4215909090909091,0.8,0.8,0.18522727272727274,0.3,0.8,0.6602272727272727,0.3,0.7,0.5068181818181818,0.3,0.8,0.8625,0.4,0.8,0.14886363636363634
15,0.49240450032690597,0.6863643515126789,0.3,0.3,0.47500000000000003,0.8,0.6,0.37272727272727274,0.5,0.4,0.6159090909090909,0.6,0.4,0.6727272727272727,0.3,0.4,0.6954545454545454,0.8,0.6,0.32386363636363635
16,0.5053982644991137,0.6715161097856323,0.6,0.6,0.5147727272727273,0.8,0.6,0.45,1.0,0.7,0.5840909090909091,1.0,0.7,0.6943181818181818,1.0,0.8,0.7011363636363637,0.8,0.6,0.47045454545454546
17,0.5040067546268427,0.6927896454023574,0.4,0.7,0.4647727272727273,0.4,1.0,0.4636363636363636,0.0,0.0,0.7284090909090909,0.2,0.0,0.6488636363636364,0.0,0.0,0.9215909090909091,0.6,1.0,0.49318181818181817
18,0.5081237471323021,0.6952723371473083,0.5,0.1,0.5477272727272727,0.8,0.4,0.3943181818181818,0.5,0.4,0.5329545454545455,0.7,0.2,0.5579545454545454,0.5,0.3,0.6602272727272728,0.8,0.4,0.4409090909090909
19,0.49242122810387673,0.6980165349754218,0.4,0.3,0.48863636363636365,0.6,1.0,0.35909090909090907,0.0,0.3,0.6079545454545454,0.1,0.2,0.6113636363636363,0.0,0.2,0.7136363636363636,0.6,1.0,0.3806818181818182
20,0.5057429519027777,0.6332531965044793,0.7,0.5,0.5045454545454545,0.4,0.8,0.5954545454545455,0.3,0.4,0.6886363636363636,0.4,0.2,0.7204545454545455,0.3,0.2,0.8886363636363636,0.8,0.8,0.5886363636363636
21,0.5083051657910191,0.7107502658687957,0.6,0.8,0.4590909090909091,0.8,0.8,0.4,0.5,0.8,0.5579545454545454,0.4,0.4,0.5965909090909092,0.5,0.8,0.7795454545454545,0.8,0.8,0.5147727272727273
22,0.5049312766184904,0.7186232152356309,0.4,0.4,0.5613636363636364,0.6,1.0,0.4125,0.4,0.6,0.46249999999999997,0.5,0.0,0.571590909090909,0.2,0.6,0.5863636363636363,0.6,1.0,0.4329545454545455
23,0.4998882628724103,0.6909161925047028,0.6,0.4,0.5295454545454545,0.8,0.8,0.525,0.2,0.8,0.7261363636363636,0.5,0.7,0.7011363636363636,0.2,0.8,0.8534090909090909,0.8,0.8,0.7625
24,0.5023948526774943,0.6910391785369299,0.6,0.5,0.4829545454545454,0.6,0.2,0.525,0.4,0.8,0.6397727272727273,0.4,0.8,0.6954545454545454,0.6,0.8,0.8806818181818181,0.6,0.2,0.5681818181818181
25,0.49384894348220176,0.6840469174421792,0.5,0.6,0.6,0.6,0.8,0.5125000000000001,0.3,0.6,0.6522727272727273,0.3,0.3,0.6590909090909091,0.4,0.6,0.8795454545454546,0.6,0.9,0.5420454545454545
26,0.5024882501291565,0.6744647601950997,0.3,0.7,0.5397727272727273,0.8,0.6,0.35454545454545455,0.8,0.8,0.5556818181818182,0.7,0.5,0.5704545454545454,0.8,0.8,0.6727272727272728,0.8,0.6,0.3397727272727273
27,0.5024576840381033,0.697327417694955,0.3,0.6,0.515909090909091,0.8,0.6,0.5204545454545455,0.3,0.6,0.625,0.5,0.5,0.6068181818181818,0.2,0.6,0.7852272727272727,0.8,0.6,0.525
28,0.4915050537078078,0.48638877720556734,0.4,0.4,0.5670454545454544,0.6,0.8,0.2409090909090909,0.3,0.6,0.759090909090909,0.5,0.6,0.6988636363636364,0.3,0.6,0.9068181818181817,0.6,0.8,0.34545454545454546
29,0.5028837593610076,0.6892926369673497,0.4,0.3,0.5215909090909092,0.8,0.8,0.3704545454545455,0.3,0.3,0.5215909090909091,0.6,0.2,0.4886363636363636,0.2,0.2,0.6704545454545454,0.8,0.8,0.375
