"S"	""
92	777
253	777
103	777
93	777
95	777
140	777
54	777
41	777
6	777
31	777
141	777
142	777
1	777
138	777
139	777
140	777
141	777
142	777
24	777
25	777
254	777
255	777
149	777
150	777
151	777
4	777
40	777
73	777
104	777
32	941
115	941
119	941
74	941
178	941
179	941
143	941
144	941
145	941
118	941
256	941
23	941
119	941
120	941
43	941
96	941
120	941
97	941
19	941
77	941
98	941
121	941
6	941
180	941
44	941
84	941
30	941
154	941
41	941
258	941
26	941
1	941
31	941
47	941
42	941
43	941
81	941
27	941
181	941
99	941
5	941
6	941
23	941
2	941
82	941
3	941
146	941
147	941
157	941
148	941
158	941
159	941
160	941
47	941
85	941
116	1006
152	1006
87	1006
88	1006
101	1006
24	1006
28	1006
103	1006
104	1006
105	1006
